Parameter,Description
`data_source`<br>_object_<br>**required**,"One of: `kbn-data-view-reference-schema`, `kbn-data-view-spec-schema`, `esqlDataSource`."
[`density`](#density)<br>_object_,Density configuration for the datatable.
`description`<br>_string_,
[`drilldowns`](#drilldowns)<br>_array_,"Types: `""dashboard_drilldown""`, `""discover_drilldown""`, `""url_drilldown""`."
`filters`<br>_object_,"Array of filters applied to the panel. Accepts KQL/Lucene expression filters, filter groups, or raw Elasticsearch DSL filters."
`hide_border`<br>_boolean_,
`hide_title`<br>_boolean_,
`ignore_global_filters`<br>_boolean_,"If true, ignore global filters when fetching data for this layer. Default is false."
`metrics`<br>_array_<br>**required**,"Array of metrics to display as columns in the datatable. Items: `countMetricOperation`, `uniqueCountMetricOperation`, `minMaxAvgMedianStdDevMetricOperation`, `sumMetricOperation`, `lastValueOperation`, `percentileOperation`, `percentileRanksOperation`, `differencesOperation`, `movingAverageOperation`, `cumulativeSumOperation`, `counterRateOperation`, `formulaOperation`."
`paging`<br>_number_,"Enables pagination and sets the number of rows to display per page. Possible values: `10`, `20`, `30`, `50`, `100`."
`query`<br>_object_,Not used with ES|QL data sources.
`references`<br>_array_,Items: `kbn-content-management-utils-referenceSchema`.
`row_numbers`<br>_object_,Configuration for row numbers.
`rows`<br>_array_,"Array of operations to split the datatable rows by. Items: `dateHistogramOperation`, `termsOperation`, `histogramOperation`, `rangesOperation`, `filtersOperation`."
`sampling`<br>_number_,Sampling factor between 0 (no sampling) and 1 (full sampling). Default is 1.
`sort_by`<br>_object_,"Sorting configuration. Only one column can be sorted at a time. Use ""column_type"" to specify the column type."
`split_metrics_by`<br>_array_,"Array of operations to split the metric columns by. Items: `dateHistogramOperation`, `termsOperation`, `histogramOperation`, `rangesOperation`, `filtersOperation`."
`time_range`<br>_object_,
`title`<br>_string_,
`type`<br>_string_<br>**required**,"Possible values: `""data_table""`."
