Parameter,Description
`breakdown_by`<br>_object_,"One of: `dateHistogramOperation`, `termsOperation`, `histogramOperation`, `rangesOperation`, `filtersOperation`."
`data_source`<br>_object_<br>**required**,"One of: `kbn-data-view-reference-schema`, `kbn-data-view-spec-schema`."
`ignore_global_filters`<br>_boolean_,"If true, ignore global filters when fetching data for this layer. Default is false."
`sampling`<br>_number_,Sampling factor between 0 (no sampling) and 1 (full sampling). Default is 1.
`type`<br>_string_<br>**required**,"Chart type for the data layer. Possible values: `""area""`, `""area_percentage""`, `""area_stacked""`, `""bar""`, `""bar_horizontal""`, `""bar_horizontal_stacked""`, `""bar_horizontal_percentage""`, `""bar_percentage""`, `""bar_stacked""`, `""line""`."
`x`<br>_object_,"One of: `dateHistogramOperation`, `termsOperation`, `histogramOperation`, `rangesOperation`, `filtersOperation`."
`y`<br>_array_<br>**required**,"Array of metrics to display on Y-axis. Items: `countMetricOperation`, `uniqueCountMetricOperation`, `minMaxAvgMedianStdDevMetricOperation`, `sumMetricOperation`, `lastValueOperation`, `percentileOperation`, `percentileRanksOperation`, `differencesOperation`, `movingAverageOperation`, `cumulativeSumOperation`, `counterRateOperation`, `formulaOperation`."
`breakdown_by.collapse_by`<br>_object_<br>**required**,"Collapse by function description. Possible values: `""avg""`, `""sum""`, `""max""`, `""min""`."
`breakdown_by.color`<br>_object_<br>**required**,"One of: `categoricalColorMapping`, `gradientColorMapping`."
`breakdown_by.column`<br>_string_<br>**required**,Column to use.
`breakdown_by.format`<br>_object_<br>**required**,"One of: `numericFormat`, `byteFormat`, `durationFormat`, `customFormat`."
`breakdown_by.label`<br>_string_,Label for the operation.
`data_source.query`<br>_string_,"An ES|QL query that drives the data source. The query must produce a tabular result set; column names are used as field references. Example: ""FROM logs-* | STATS count = COUNT(*) BY host.name""."
`data_source.type`<br>_string_<br>**required**,"Possible values: `""esql""`."
`x.column`<br>_string_<br>**required**,Column to use.
`x.format`<br>_object_<br>**required**,"One of: `numericFormat`, `byteFormat`, `durationFormat`, `customFormat`."
`x.label`<br>_string_,Label for the operation.
`y[].axis_id`<br>_string_,"ID of the axis definition this Y metric is bound to; links the metric to the matching axis configuration in axis.y or axis.secondary_y. If omitted, the metric is bound to the primary Y axis. Possible values: `""y""`, `""secondary_y""`."
`y[].color`<br>_object_<br>**required**,
`y[].color.color`<br>_string_<br>**required**,The static color to be used for all values.
`y[].color.type`<br>_string_<br>**required**,"Possible values: `""static""`."
`y[].column`<br>_string_<br>**required**,Column to use.
`y[].format`<br>_object_<br>**required**,"One of: `numericFormat`, `byteFormat`, `durationFormat`, `customFormat`."
`y[].label`<br>_string_,Label for the operation.
